,ZipCode,Date,Zestimate,LogValue,AnchorDate,EventTime,RelLogValue
11376,35810,2020-06-30,118523.74102649125,11.682868565705816,2021-03-31,-9,-0.1630193568134981
11379,20136,2020-06-30,496223.4795836103,13.114781667910364,2021-06-30,-12,-0.15780758764512726
11384,43054,2020-06-30,383666.8214051283,12.857529802350673,2022-03-31,-21,-0.22128380382937962
11387,76504,2020-06-30,139561.85094786133,11.846263157951807,2022-03-31,-21,-0.33567289434797054
11391,43207,2020-06-30,141285.86027065583,11.858540494809457,2021-09-30,-15,-0.17231397633962153
11395,78245,2020-06-30,205997.8897598464,12.235621203835008,2018-11-30,19,0.07533330377575886
11396,85338,2020-06-30,304698.53117385454,12.627078144397215,2021-05-31,-11,-0.19662271923948538
11397,97124,2020-06-30,427080.61279401864,12.964728063137184,2021-03-31,-9,-0.0959897127468583
11398,78251,2020-06-30,204237.6930180674,12.227039756405368,2022-01-31,-19,-0.2390793855005633
11399,43130,2020-06-30,175622.58891485748,12.076092590377232,2021-09-30,-15,-0.19275548980665747
11403,20109,2020-06-30,318092.58913876937,12.67009778019697,2019-09-30,9,0.05157033431407321
11407,68142,2020-06-30,278864.72621815646,12.538482090959963,2021-10-31,-16,-0.15709709223672164
11415,18603,2020-06-30,172615.19045246622,12.058820063332814,2021-06-30,-12,-0.11938122229671144
11416,68138,2020-06-30,198127.0950313422,12.19666399784846,2020-02-29,4,0.023741003404014194
11420,23150,2020-06-30,207998.52973862705,12.24528629009418,2022-03-31,-21,-0.226899515068558
11427,50061,2020-07-31,426874.5044593813,12.964245348450017,2018-11-30,20,0.07018044325365302
11431,35810,2020-07-31,119527.28942060348,11.691299987635091,2021-03-31,-8,-0.15458793488422273
11434,20136,2020-07-31,496991.0772657129,13.116327351729906,2021-06-30,-11,-0.1562619038255857
11439,43054,2020-07-31,384715.97664248344,12.860260618011862,2022-03-31,-20,-0.2185529881681898
11442,76504,2020-07-31,140966.25341073575,11.856275803202,2022-03-31,-20,-0.325660249097778
11446,43207,2020-07-31,141844.39455880455,11.862485922775225,2021-09-30,-14,-0.16836854837385395
11450,78245,2020-07-31,206567.83185827135,12.23838412101947,2018-11-30,20,0.07809622096022117
11451,85338,2020-07-31,306160.7823876939,12.631865675582645,2021-05-31,-10,-0.1918351880540552
11452,97124,2020-07-31,426513.8082955524,12.963400021229297,2021-03-31,-8,-0.09731775465474435
11453,78251,2020-07-31,205039.04219263225,12.230955689707457,2022-01-31,-18,-0.23516345219847423
11454,43130,2020-07-31,176412.06037072875,12.08057778966632,2021-09-30,-14,-0.18827029051757016
11458,20109,2020-07-31,318176.12939291616,12.670360374450604,2019-09-30,10,0.05183292856770727
11461,68142,2020-07-31,279979.5898095358,12.542471985957151,2021-10-31,-15,-0.15310719723953348
