,TreatedZip,EventTime,RelLogValue,DonorCount
746,37066,-2,-0.00204065279382597,5
747,37066,-1,-0.0007989490132494836,5
748,37066,0,0.0,5
749,37066,1,0.00010019952481101768,5
750,37066,2,0.00022520562762373686,5
751,37066,3,0.0007737549167586621,5
752,37066,4,0.0010186038422638432,5
753,37066,5,0.0020245469136607854,5
754,37066,6,0.004040171264544057,5
755,37066,7,0.00913531679878794,5
756,37066,8,0.014182971066418304,5
757,37066,9,0.018197963784459502,5
758,37066,10,0.018979714219474177,5
759,37066,11,0.01929274813169215,5
760,37066,12,0.01956610997476922,5
761,37066,13,0.020791081427727676,5
762,37066,14,0.022244667208696355,5
763,37066,15,0.02302731687901414,5
764,37066,16,0.0237987054072736,5
765,37066,17,0.025670976112091636,5
766,37066,18,0.02789769217640199,5
767,37066,19,0.028836091491051263,5
768,37066,20,0.028164909242242686,5
769,37066,21,0.02663139828408987,5
770,37066,22,0.024889655850111936,5
771,37066,23,0.023721771731036158,5
772,37066,24,0.023719088692898183,5
773,38109,-24,0.030501037644238595,5
774,38109,-23,0.04672494313848041,5
